epoch,accuracy,loss,val_accuracy,val_loss
0,0.7640550136566162,0.7441120147705078,0.8288043737411499,0.5284257531166077
1,0.9165669679641724,0.3247862160205841,0.9375,0.30558910965919495
2,0.948265552520752,0.2237299084663391,0.926630437374115,0.29399287700653076
3,0.96202152967453,0.17643962800502777,0.9402173757553101,0.2601935565471649
4,0.9697966575622559,0.14598385989665985,0.9646739363670349,0.22284136712551117
5,0.9763755798339844,0.13303758203983307,0.9510869383811951,0.22394894063472748
6,0.9850478172302246,0.10165446996688843,0.9402173757553101,0.22859282791614532
7,0.9877392053604126,0.0877227932214737,0.9429348111152649,0.23333740234375
8,0.9961124658584595,0.06674191355705261,0.9402173757553101,0.20582833886146545
9,0.9913277626037598,0.07176923006772995,0.9402173757553101,0.20041732490062714
10,0.9913277626037598,0.07198913395404816,0.945652186870575,0.18860796093940735
11,0.997308611869812,0.05333569273352623,0.9402173757553101,0.21922484040260315
12,0.9985047578811646,0.04390520974993706,0.945652186870575,0.19898860156536102
13,0.9916267991065979,0.05942050367593765,0.945652186870575,0.23756293952465057
14,0.9901315569877625,0.06664665043354034,0.948369562625885,0.2250487059354782
