epoch,accuracy,loss,val_accuracy,val_loss
0,0.6587918400764465,0.9722930192947388,0.8586956262588501,0.4480585753917694
1,0.8660287261009216,0.44884273409843445,0.9320651888847351,0.27108898758888245
2,0.9108851552009583,0.3258326053619385,0.9402173757553101,0.2565217912197113
3,0.9351076483726501,0.2533835172653198,0.9538043737411499,0.20032532513141632
4,0.9491626620292664,0.20640334486961365,0.9402173757553101,0.22927242517471313
5,0.9605262875556946,0.17343156039714813,0.9510869383811951,0.19818681478500366
6,0.9694976210594177,0.1521858274936676,0.948369562625885,0.19061152637004852
7,0.9775717854499817,0.12550246715545654,0.948369562625885,0.1736125499010086
8,0.9742823243141174,0.12400907278060913,0.95652174949646,0.1681700050830841
9,0.9787679314613342,0.11198272556066513,0.9510869383811951,0.15960118174552917
10,0.9787679314613342,0.10639797896146774,0.95923912525177,0.14539697766304016
11,0.9778708219528198,0.11332336813211441,0.95652174949646,0.1556331217288971
12,0.980861246585846,0.09263962507247925,0.95923912525177,0.16979475319385529
13,0.9880383014678955,0.07497674226760864,0.95652174949646,0.16004130244255066
14,0.9895334839820862,0.07432812452316284,0.95652174949646,0.15168185532093048
