epoch,accuracy,loss,val_accuracy,val_loss
0,0.7039473652839661,0.8888014554977417,0.885869562625885,0.44122305512428284
1,0.8755980730056763,0.4304777681827545,0.885869562625885,0.35768941044807434
2,0.9123803973197937,0.3181581199169159,0.9130434989929199,0.3093171715736389
3,0.9297248721122742,0.26437678933143616,0.904891312122345,0.28549593687057495
4,0.9506579041481018,0.20684996247291565,0.926630437374115,0.2367195188999176
5,0.9551435112953186,0.1910109519958496,0.9429348111152649,0.21188116073608398
6,0.9712918400764465,0.15185284614562988,0.945652186870575,0.21897061169147491
7,0.970095694065094,0.14041733741760254,0.945652186870575,0.19751287996768951
8,0.9793660044670105,0.11277898401021957,0.9375,0.20670504868030548
9,0.9835526347160339,0.09884612262248993,0.9510869383811951,0.1718481481075287
10,0.9838516712188721,0.09731410443782806,0.9429348111152649,0.18817082047462463
11,0.9898325204849243,0.08384954929351807,0.9347826242446899,0.17959769070148468
12,0.9895334839820862,0.07533393055200577,0.948369562625885,0.16906480491161346
13,0.9889354109764099,0.07267317920923233,0.9402173757553101,0.17672203481197357
14,0.9847487807273865,0.08192142844200134,0.9510869383811951,0.1513451188802719
