epoch,accuracy,loss,val_accuracy,val_loss
0,0.77452152967453,0.6716775298118591,0.8885869383811951,0.3906958997249603
1,0.9291267991065979,0.28963175415992737,0.9429348111152649,0.2581077516078949
2,0.9545454382896423,0.20954667031764984,0.9402173757553101,0.22586248815059662
3,0.9724880456924438,0.15616942942142487,0.948369562625885,0.22881269454956055
4,0.9814593195915222,0.12128688395023346,0.95923912525177,0.1763058751821518
5,0.9925239086151123,0.09151729941368103,0.967391312122345,0.16415241360664368
6,0.9949162602424622,0.07378140836954117,0.9619565010070801,0.19064044952392578
7,0.9970095753669739,0.06545858830213547,0.948369562625885,0.1707531362771988
8,0.9979066848754883,0.05698489397764206,0.95923912525177,0.14577683806419373
9,0.9991028904914856,0.04698529839515686,0.967391312122345,0.13084641098976135
