epoch,accuracy,loss,val_accuracy,val_loss
0,0.7727272510528564,0.698555588722229,0.89673912525177,0.428413063287735
1,0.9099880456924438,0.3293493986129761,0.9130434989929199,0.3631007969379425
2,0.9446770548820496,0.2363920509815216,0.8913043737411499,0.3487189710140228
3,0.9638158082962036,0.17734073102474213,0.89402174949646,0.3398229479789734
4,0.9694976210594177,0.14621321856975555,0.9320651888847351,0.2919174134731293
5,0.9826555252075195,0.1166844516992569,0.91847825050354,0.2788594961166382
6,0.9922248721122742,0.08435013145208359,0.9239130616188049,0.24949556589126587
7,0.9901315569877625,0.08569851517677307,0.929347813129425,0.26183104515075684
8,0.9883373379707336,0.08726602792739868,0.926630437374115,0.24556808173656464
9,0.9904305934906006,0.07890946418046951,0.9402173757553101,0.2516877353191376
10,0.9964115023612976,0.05709930136799812,0.9402173757553101,0.20991823077201843
11,0.9994019269943237,0.0426766611635685,0.9347826242446899,0.22156618535518646
12,1.0,0.03723716735839844,0.948369562625885,0.17643927037715912
13,1.0,0.0325307697057724,0.9429348111152649,0.1957569718360901
14,1.0,0.030085958540439606,0.948369562625885,0.1810128539800644
